No.,name,quote,url
1,Warren Buffett,"""Price is what you pay. Value is what you get.""",https://i.ibb.co/fdLNqjrP/warren-buffet.png
2,Benjamin Graham,"""In the short run, the market is a voting machine but in the long run, it is a weighing machine.""",https://i.ibb.co/CKhJN1V2/Screenshot-2025-12-26-185551-removebg-preview.png
3,Peter Lynch,"""Know what you own, and know why you own it.""",https://i.ibb.co/VWpN8QT3/Screenshot-2025-12-26-185900-removebg-preview.png
4,Charlie Munger,"""The big money is not in the buying and selling, but in the waiting.""",https://i.ibb.co/mCKngSjM/Screenshot-2025-12-26-190201-removebg-preview.png
5,Ray Dalio,"""He who lives by the crystal ball will eat shattered glass.""",https://i.ibb.co/krqNV4s/Screenshot-2025-12-26-190357.png
6,John Templeton,“The four most dangerous words in investing are: ‘This time it’s different.’”,https://i.ibb.co/wZ9V63NK/Screenshot-2025-12-26-191210.png
7,George Soros,"“It’s not whether you’re right or wrong, but how much money you make when you’re right and how much you lose when you’re wrong.”",https://i.ibb.co/3yWwSKBp/Screenshot-2025-12-26-191424.png
8,Howard Marks,"""You can’t predict, but you can prepare.""",https://i.ibb.co/1fD534wQ/Screenshot-2025-12-26-191614.png
9,Jesse Livermore,"“The stock market is never obvious. It is designed to fool most of the people, most of the time.”",https://i.ibb.co/1fD534wQ/Screenshot-2025-12-26-191614.png
10,Jack Bogle,“Don’t look for the needle in the haystack. Just buy the haystack.”,https://i.ibb.co/1Ys63HHf/Screenshot-2025-12-26-194320.png
11,Paul Samuelson,“Investing should be more like watching paint dry or watching grass grow.”,https://i.ibb.co/VcWKdp5X/Screenshot-2025-12-26-194713.png
12,Seth Klarman,“Risk comes from not knowing what you’re doing.”,https://i.ibb.co/F4ZQjjph/Screenshot-2025-12-26-193927.png
13,Warren Buffett,“Be fearful when others are greedy and greedy when others are fearful.”,https://i.ibb.co/fdLNqjrP/warren-buffet.png
14,Philip Fisher,"“The stock market is filled with individuals who know the price of everything, but the value of nothing.”",https://i.ibb.co/hJsL5gW1/Screenshot-2025-12-26-182625.png
15,Mark Cuban,“It doesn’t matter how many times you fail. You only have to be right once.”,https://i.ibb.co/Tq2TnFDQ/Gemini-Generated-Image-h3svw7h3svw7h3sv.png
