Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2015-01-02,8395.4501953125,101900
2015-01-05,8378.400390625,118200
2015-01-06,8127.35009765625,172800
2015-01-07,8102.10009765625,164100
2015-01-08,8234.599609375,143800
2015-01-09,8284.5,148000
2015-01-12,8323.0,103200
2015-01-13,8299.400390625,129600
2015-01-14,8277.5498046875,146100
2015-01-15,8494.150390625,232100
2015-01-16,8513.7998046875,176000
2015-01-19,8550.7001953125,125400
2015-01-20,8695.599609375,158700
2015-01-21,8729.5,185900
2015-01-22,8761.400390625,175500
2015-01-23,8835.599609375,191200
2015-01-27,8910.5,192000
2015-01-28,8914.2998046875,185100
2015-01-29,8952.349609375,256300
2015-01-30,8808.900390625,267300
2015-02-02,8797.400390625,210100
2015-02-03,8756.5498046875,208700
2015-02-04,8723.7001953125,195300
2015-02-05,8711.7001953125,173600
2015-02-06,8661.0498046875,171300
2015-02-09,8526.349609375,146800
2015-02-10,8565.5498046875,196200
2015-02-11,8627.400390625,161600
2015-02-12,8711.5498046875,158800
2015-02-13,8805.5,221900
2015-02-16,8809.349609375,136400
2015-02-18,8869.099609375,147600
2015-02-19,8895.2998046875,213300
2015-02-20,8833.599609375,197600
2015-02-23,8754.9501953125,139600
2015-02-24,8762.099609375,149800
2015-02-25,8767.25,135200
2015-02-26,8683.849609375,217500
2015-02-27,8844.599609375,249500
2015-03-02,8956.75,218100
2015-03-03,8996.25,177800
2015-03-04,8922.650390625,248400
2015-03-05,8937.75,160100
2015-03-09,8756.75,155500
2015-03-10,8712.0498046875,163800
2015-03-11,8699.9501953125,172800
2015-03-12,8776.0,173900
2015-03-13,8647.75,179200
2015-03-16,8633.150390625,163300
2015-03-17,8723.2998046875,177000
2015-03-18,8685.900390625,156400
2015-03-19,8634.650390625,163500
2015-03-20,8570.900390625,174600
2015-03-23,8550.900390625,150700
2015-03-24,8542.9501953125,156700
2015-03-25,8530.7998046875,161000
2015-03-26,8342.150390625,280100
2015-03-27,8341.400390625,193000
2015-03-30,8492.2998046875,134700
2015-03-31,8491.0,167200
2015-04-01,8586.25,125500
2015-04-06,8659.900390625,146900
2015-04-07,8660.2998046875,148700
2015-04-08,8714.400390625,148200
2015-04-09,8778.2998046875,152700
2015-04-10,8780.349609375,139000
2015-04-13,8834.0,121600
2015-04-16,8706.7001953125,142900
2015-04-17,8606.0,150400
2015-04-20,8448.099609375,148900
2015-04-21,8377.75,407800
2015-04-22,8429.7001953125,171800
2015-04-23,8398.2998046875,156000
2015-04-24,8305.25,173600
2015-04-27,8213.7998046875,171500
2015-04-28,8285.599609375,174600
2015-04-29,8239.75,160400
2015-04-30,8181.5,267700
2015-05-04,8331.9501953125,131700
2015-05-05,8324.7998046875,155500
2015-05-06,8097.0,209600
2015-05-07,8057.2998046875,161600
2015-05-08,8191.5,183100
2015-05-11,8325.25,192000
2015-05-12,8126.9501953125,173400
2015-05-13,8235.4501953125,169800
2015-05-14,8224.2001953125,134800
2015-05-15,8262.349609375,129800
2015-05-18,8373.650390625,148700
2015-05-19,8365.650390625,140300
2015-05-20,8423.25,123600
2015-05-21,8421.0,143800
2015-05-22,8458.9501953125,187300
2015-05-25,8370.25,121300
2015-05-26,8339.349609375,116800
2015-05-27,8334.599609375,165500
2015-05-28,8319.0,232300
2015-05-29,8433.650390625,363900
2015-06-01,8433.400390625,122200
2015-06-02,8236.4501953125,146800
2015-06-03,8135.10009765625,171400
2015-06-04,8130.64990234375,154700
2015-06-05,8114.7001953125,162100
2015-06-08,8044.14990234375,135900
2015-06-09,8022.39990234375,136000
2015-06-10,8124.4501953125,136800
2015-06-11,7965.35009765625,166200
2015-06-12,7982.89990234375,136600
2015-06-15,8013.89990234375,133000
2015-06-16,8047.2998046875,124000
2015-06-17,8091.5498046875,152500
2015-06-18,8174.60009765625,144800
2015-06-19,8224.9501953125,147100
2015-06-22,8353.099609375,122700
2015-06-23,8381.5498046875,131700
2015-06-24,8360.849609375,130100
2015-06-25,8398.0,201200
2015-06-26,8381.099609375,110600
2015-06-29,8318.400390625,132000
2015-06-30,8368.5,158500
2015-07-01,8453.0498046875,131800
2015-07-02,8444.900390625,112000
2015-07-03,8484.900390625,88400
2015-07-06,8522.150390625,101500
2015-07-07,8510.7998046875,122200
2015-07-08,8363.0498046875,188100
2015-07-09,8328.5498046875,131300
2015-07-10,8360.5498046875,154100
2015-07-13,8459.650390625,117800
2015-07-14,8454.099609375,101700
2015-07-15,8523.7998046875,105500
2015-07-16,8608.0498046875,116000
2015-07-17,8609.849609375,105000
2015-07-20,8603.4501953125,90600
2015-07-21,8529.4501953125,164100
2015-07-22,8633.5,136800
2015-07-23,8589.7998046875,132900
2015-07-24,8521.5498046875,127400
2015-07-27,8361.0,136600
2015-07-28,8337.0,174600
2015-07-29,8375.0498046875,141000
2015-07-30,8421.7998046875,215200
2015-07-31,8532.849609375,203300
2015-08-03,8543.0498046875,156700
2015-08-04,8516.900390625,187400
2015-08-05,8567.9501953125,132800
2015-08-06,8588.650390625,134900
2015-08-07,8564.599609375,143700
2015-08-10,8525.599609375,123400
